row_id,probe,condition,video_id,question_id,category_key,category_label,model_key,model_name,a_prior,a_visual,chosen_answer_type,is_correct,supports_logprob,logprob_prior,logprob_visual
29,I-A-category,reversed,glass_breaking_v_12,glass_breaking_q_12,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.84,-2.2399999999999998
30,I-A-category,reversed,glass_breaking_v_13,glass_breaking_q_13,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.81,-2.21
31,I-A-category,reversed,glass_breaking_v_14,glass_breaking_q_14,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
32,I-A-category,reversed,glass_breaking_v_15,glass_breaking_q_15,glass_breaking,Glass breaking,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
33,I-A-category,reversed,glass_breaking_v_00,glass_breaking_q_00,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4999999999999998,-2.3
34,I-A-category,reversed,glass_breaking_v_01,glass_breaking_q_01,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.47,-2.27
35,I-A-category,reversed,glass_breaking_v_02,glass_breaking_q_02,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4399999999999997,-2.2399999999999998
36,I-A-category,reversed,glass_breaking_v_03,glass_breaking_q_03,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.41,-2.21
37,I-A-category,reversed,glass_breaking_v_04,glass_breaking_q_04,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.3799999999999997,-2.1799999999999997
38,I-A-category,reversed,glass_breaking_v_05,glass_breaking_q_05,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4999999999999998,-2.3
39,I-A-category,reversed,glass_breaking_v_06,glass_breaking_q_06,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.47,-2.27
40,I-A-category,reversed,glass_breaking_v_07,glass_breaking_q_07,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4399999999999997,-2.2399999999999998
41,I-A-category,reversed,glass_breaking_v_08,glass_breaking_q_08,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.81,-2.21
42,I-A-category,reversed,glass_breaking_v_09,glass_breaking_q_09,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
43,I-A-category,reversed,glass_breaking_v_10,glass_breaking_q_10,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
44,I-A-category,reversed,glass_breaking_v_11,glass_breaking_q_11,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.87,-2.27
45,I-A-category,reversed,glass_breaking_v_12,glass_breaking_q_12,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.84,-2.2399999999999998
46,I-A-category,reversed,glass_breaking_v_13,glass_breaking_q_13,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.81,-2.21
47,I-A-category,reversed,glass_breaking_v_14,glass_breaking_q_14,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
48,I-A-category,reversed,glass_breaking_v_15,glass_breaking_q_15,glass_breaking,Glass breaking,qwen2_vl_7b,Qwen2-VL-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
49,I-A-category,reversed,glass_breaking_v_00,glass_breaking_q_00,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
50,I-A-category,reversed,glass_breaking_v_01,glass_breaking_q_01,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
51,I-A-category,reversed,glass_breaking_v_02,glass_breaking_q_02,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
52,I-A-category,reversed,glass_breaking_v_03,glass_breaking_q_03,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
53,I-A-category,reversed,glass_breaking_v_04,glass_breaking_q_04,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
54,I-A-category,reversed,glass_breaking_v_05,glass_breaking_q_05,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
55,I-A-category,reversed,glass_breaking_v_06,glass_breaking_q_06,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
56,I-A-category,reversed,glass_breaking_v_07,glass_breaking_q_07,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
57,I-A-category,reversed,glass_breaking_v_08,glass_breaking_q_08,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
58,I-A-category,reversed,glass_breaking_v_09,glass_breaking_q_09,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
59,I-A-category,reversed,glass_breaking_v_10,glass_breaking_q_10,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,visual,1,no,,
60,I-A-category,reversed,glass_breaking_v_11,glass_breaking_q_11,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,visual,1,no,,
61,I-A-category,reversed,glass_breaking_v_12,glass_breaking_q_12,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,visual,1,no,,
62,I-A-category,reversed,glass_breaking_v_13,glass_breaking_q_13,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,visual,1,no,,
63,I-A-category,reversed,glass_breaking_v_14,glass_breaking_q_14,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,visual,1,no,,
64,I-A-category,reversed,glass_breaking_v_15,glass_breaking_q_15,glass_breaking,Glass breaking,gemini_1_5_flash,Gemini 1.5 Flash,physically intuitive prior answer,counter-intuitive visual answer,visual,1,no,,
65,I-A-category,reversed,glass_breaking_v_00,glass_breaking_q_00,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4999999999999998,-2.3
66,I-A-category,reversed,glass_breaking_v_01,glass_breaking_q_01,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.47,-2.27
67,I-A-category,reversed,glass_breaking_v_02,glass_breaking_q_02,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4399999999999997,-2.2399999999999998
68,I-A-category,reversed,glass_breaking_v_03,glass_breaking_q_03,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.41,-2.21
69,I-A-category,reversed,glass_breaking_v_04,glass_breaking_q_04,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.3799999999999997,-2.1799999999999997
70,I-A-category,reversed,glass_breaking_v_05,glass_breaking_q_05,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4999999999999998,-2.3
71,I-A-category,reversed,glass_breaking_v_06,glass_breaking_q_06,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.47,-2.27
72,I-A-category,reversed,glass_breaking_v_07,glass_breaking_q_07,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4399999999999997,-2.2399999999999998
73,I-A-category,reversed,glass_breaking_v_08,glass_breaking_q_08,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.41,-2.21
74,I-A-category,reversed,glass_breaking_v_09,glass_breaking_q_09,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
75,I-A-category,reversed,glass_breaking_v_10,glass_breaking_q_10,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
76,I-A-category,reversed,glass_breaking_v_11,glass_breaking_q_11,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.87,-2.27
77,I-A-category,reversed,glass_breaking_v_12,glass_breaking_q_12,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.84,-2.2399999999999998
78,I-A-category,reversed,glass_breaking_v_13,glass_breaking_q_13,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.81,-2.21
79,I-A-category,reversed,glass_breaking_v_14,glass_breaking_q_14,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
80,I-A-category,reversed,glass_breaking_v_15,glass_breaking_q_15,glass_breaking,Glass breaking,internvl2_26b,InternVL2-26B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
81,I-A-category,reversed,glass_breaking_v_00,glass_breaking_q_00,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
82,I-A-category,reversed,glass_breaking_v_01,glass_breaking_q_01,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
83,I-A-category,reversed,glass_breaking_v_02,glass_breaking_q_02,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
84,I-A-category,reversed,glass_breaking_v_03,glass_breaking_q_03,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
85,I-A-category,reversed,glass_breaking_v_04,glass_breaking_q_04,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
86,I-A-category,reversed,glass_breaking_v_05,glass_breaking_q_05,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
87,I-A-category,reversed,glass_breaking_v_06,glass_breaking_q_06,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
88,I-A-category,reversed,glass_breaking_v_07,glass_breaking_q_07,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
89,I-A-category,reversed,glass_breaking_v_08,glass_breaking_q_08,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
90,I-A-category,reversed,glass_breaking_v_09,glass_breaking_q_09,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
91,I-A-category,reversed,glass_breaking_v_10,glass_breaking_q_10,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
92,I-A-category,reversed,glass_breaking_v_11,glass_breaking_q_11,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,prior,0,no,,
93,I-A-category,reversed,glass_breaking_v_12,glass_breaking_q_12,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,visual,1,no,,
94,I-A-category,reversed,glass_breaking_v_13,glass_breaking_q_13,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,visual,1,no,,
95,I-A-category,reversed,glass_breaking_v_14,glass_breaking_q_14,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,visual,1,no,,
96,I-A-category,reversed,glass_breaking_v_15,glass_breaking_q_15,glass_breaking,Glass breaking,gpt_4o,GPT-4o,physically intuitive prior answer,counter-intuitive visual answer,visual,1,no,,
97,I-A-category,reversed,pouring_liquid_v_00,pouring_liquid_q_00,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4999999999999998,-2.3
98,I-A-category,reversed,pouring_liquid_v_01,pouring_liquid_q_01,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.47,-2.27
99,I-A-category,reversed,pouring_liquid_v_02,pouring_liquid_q_02,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4399999999999997,-2.2399999999999998
100,I-A-category,reversed,pouring_liquid_v_03,pouring_liquid_q_03,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.41,-2.21
101,I-A-category,reversed,pouring_liquid_v_04,pouring_liquid_q_04,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
102,I-A-category,reversed,pouring_liquid_v_05,pouring_liquid_q_05,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
103,I-A-category,reversed,pouring_liquid_v_06,pouring_liquid_q_06,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.87,-2.27
104,I-A-category,reversed,pouring_liquid_v_07,pouring_liquid_q_07,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.84,-2.2399999999999998
105,I-A-category,reversed,pouring_liquid_v_08,pouring_liquid_q_08,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.81,-2.21
106,I-A-category,reversed,pouring_liquid_v_09,pouring_liquid_q_09,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
107,I-A-category,reversed,pouring_liquid_v_10,pouring_liquid_q_10,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
108,I-A-category,reversed,pouring_liquid_v_11,pouring_liquid_q_11,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.87,-2.27
109,I-A-category,reversed,pouring_liquid_v_12,pouring_liquid_q_12,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.84,-2.2399999999999998
110,I-A-category,reversed,pouring_liquid_v_13,pouring_liquid_q_13,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.81,-2.21
111,I-A-category,reversed,pouring_liquid_v_14,pouring_liquid_q_14,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
112,I-A-category,reversed,pouring_liquid_v_15,pouring_liquid_q_15,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
113,I-A-category,reversed,pouring_liquid_v_00,pouring_liquid_q_00,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4999999999999998,-2.3
114,I-A-category,reversed,pouring_liquid_v_01,pouring_liquid_q_01,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.47,-2.27
115,I-A-category,reversed,pouring_liquid_v_02,pouring_liquid_q_02,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.4399999999999997,-2.2399999999999998
116,I-A-category,reversed,pouring_liquid_v_03,pouring_liquid_q_03,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.41,-2.21
117,I-A-category,reversed,pouring_liquid_v_04,pouring_liquid_q_04,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,prior,0,yes,-1.3799999999999997,-2.1799999999999997
118,I-A-category,reversed,pouring_liquid_v_05,pouring_liquid_q_05,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
119,I-A-category,reversed,pouring_liquid_v_06,pouring_liquid_q_06,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.87,-2.27
120,I-A-category,reversed,pouring_liquid_v_07,pouring_liquid_q_07,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.84,-2.2399999999999998
121,I-A-category,reversed,pouring_liquid_v_08,pouring_liquid_q_08,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.81,-2.21
122,I-A-category,reversed,pouring_liquid_v_09,pouring_liquid_q_09,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.78,-2.1799999999999997
123,I-A-category,reversed,pouring_liquid_v_10,pouring_liquid_q_10,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.9,-2.3
124,I-A-category,reversed,pouring_liquid_v_11,pouring_liquid_q_11,pouring_liquid,Pouring liquid,llava_1_6_7b,LLaVA-1.6-7B,physically intuitive prior answer,counter-intuitive visual answer,visual,1,yes,-2.87,-2.27
